pair_index,source_points,target_points,status,iterations,correspondences,inlier_rmse_m,registration_runtime_s,input_preprocessing_runtime_s,end_to_end_runtime_s,process_peak_rss_bytes
1,1294,1286,"ok",22,1287,0.0325470604928,0.010316,0.0102172,0.0205332,35123200
2,1181,1294,"ok",12,1178,0.0221482505412,0.0051681,0.0113985,0.0165666,35123200
3,1158,1181,"ok",15,1158,0.022136210569,0.0051284,0.0109201,0.0160485,35123200
4,1047,1158,"ok",18,1046,0.0210044194787,0.0061229,0.0110605,0.0171834,35123200
5,1067,1047,"ok",8,1067,0.019927076554,0.0028518,0.0115391,0.0143909,35123200
6,1031,1067,"ok",5,1025,0.0444567351037,0.0016576,0.0105049,0.0121625,35123200
7,1005,1031,"ok",9,1004,0.0217877734643,0.0030777,0.0108852,0.0139629,35123200
8,1017,1005,"ok",21,1010,0.0577444607205,0.0093192,0.010919,0.0202382,35123200
9,930,1017,"ok",8,930,0.0198681333925,0.0043111,0.0109166,0.0152277,35123200
10,883,930,"ok",11,883,0.0186952611177,0.0032688,0.0107701,0.0140389,35123200
11,842,883,"ok",13,841,0.0204932391417,0.0037416,0.0105878,0.0143294,35123200
12,794,842,"ok",4,792,0.0163988249432,0.0009069,0.0110886,0.0119955,35123200
13,779,794,"ok",7,779,0.0178722852173,0.0013756,0.0109014,0.012277,35123200
14,747,779,"ok",8,746,0.0184325820203,0.0016516,0.0110825,0.0127341,35123200
15,791,747,"ok",6,791,0.0190983176634,0.0014818,0.0110207,0.0125025,35123200
16,765,791,"ok",6,765,0.0175005057847,0.0012173,0.0109712,0.0121885,35123200
17,698,765,"ok",5,698,0.0187562966394,0.0009691,0.0109291,0.0118982,35123200
18,718,698,"ok",6,718,0.0178276644546,0.0010704,0.011135,0.0122054,35123200
19,679,718,"ok",11,679,0.0175873429524,0.0021428,0.0109599,0.0131027,35123200
20,649,679,"ok",8,649,0.0165485749772,0.0014667,0.0110703,0.012537,35123200
21,671,649,"ok",6,668,0.0193005230364,0.0011488,0.0107758,0.0119246,35123200
22,653,671,"ok",7,653,0.0161140488757,0.0011127,0.011068,0.0121807,35123200
23,632,653,"ok",5,632,0.0156661038862,0.0008832,0.0109346,0.0118178,35123200
24,623,632,"ok",5,623,0.0127653819985,0.0007636,0.0104535,0.0112171,35123200
25,623,623,"ok",4,619,0.0301337625756,0.0007147,0.0106189,0.0113336,35123200
26,594,623,"ok",10,594,0.0148711951669,0.0014073,0.010926,0.0123333,35123200
27,581,594,"ok",7,581,0.0159007393417,0.0009731,0.0131737,0.0141468,35123200
28,545,581,"ok",5,545,0.01470265959,0.0009301,0.0110296,0.0119597,35123200
29,532,545,"ok",9,532,0.0150338929956,0.000929,0.0106659,0.0115949,35123200
30,531,532,"ok",7,531,0.0153674655105,0.0008563,0.0107122,0.0115685,35123200
31,511,531,"ok",3,511,0.00923910839046,0.0003232,0.0114706,0.0117938,35123200
32,503,511,"ok",5,503,0.01443894793,0.0004568,0.0107335,0.0111903,35123200
33,502,503,"ok",3,502,0.00843056983101,0.000296,0.0105805,0.0108765,35123200
