pair_index,source_points,target_points,status,iterations,correspondences,inlier_rmse_m,registration_runtime_s,input_preprocessing_runtime_s,end_to_end_runtime_s,process_peak_rss_bytes
1,1294,1286,"ok",22,1287,0.0325470604928,0.012619962,0.009928776,0.022548738,74575872
2,1294,1294,"ok",2,1294,5.16328800461e-16,0.001034543,0.009329546,0.010364089,74575872
3,1181,1294,"ok",12,1178,0.0221482505412,0.0058298,0.009282769,0.015112569,74575872
4,1158,1181,"ok",15,1158,0.022136210569,0.006508988,0.009305912,0.0158149,74575872
5,1047,1158,"ok",18,1046,0.0210044194787,0.006258129,0.009264274,0.015522403,74575872
6,1067,1047,"ok",8,1067,0.019927076554,0.003290627,0.009276378,0.012567005,74575872
7,1031,1067,"ok",5,1025,0.0444567351037,0.002362092,0.009213871,0.011575963,74575872
8,1005,1031,"ok",9,1004,0.0217877734643,0.00328187,0.009095489,0.012377359,74575872
9,1017,1005,"ok",21,1010,0.0577444607205,0.006598806,0.009220573,0.015819379,74575872
10,930,1017,"ok",8,930,0.0198681333925,0.003118474,0.009153438,0.012271912,74575872
11,930,930,"ok",2,930,9.12556126027e-16,0.000675872,0.009145603,0.009821475,74575872
12,883,930,"ok",11,883,0.0186952611177,0.002571694,0.009098455,0.011670149,74575872
13,842,883,"ok",13,841,0.0204932391417,0.003605705,0.009116699,0.012722404,74575872
14,842,842,"ok",2,842,2.36376316086e-16,0.000568502,0.009146625,0.009715127,74575872
15,794,842,"ok",4,792,0.0163988249432,0.001052566,0.009147176,0.010199742,74575872
16,779,794,"ok",7,779,0.0178722852173,0.001594358,0.009096712,0.01069107,74575872
17,747,779,"ok",8,746,0.0184325820203,0.001633501,0.009078688,0.010712189,74575872
18,791,747,"ok",6,791,0.0190983176634,0.001554624,0.009049794,0.010604418,74575872
19,765,791,"ok",6,765,0.0175005057847,0.001432686,0.009034015,0.010466701,74575872
20,698,765,"ok",5,698,0.0187562966394,0.001148525,0.00900512,0.010153645,74575872
21,718,698,"ok",6,718,0.0178276644546,0.001306711,0.00910666,0.010413371,74575872
22,679,718,"ok",11,679,0.0175873429524,0.001878008,0.009118612,0.01099662,74575872
23,679,679,"ok",2,679,2.94904570944e-16,0.000450501,0.009045256,0.009495757,74575872
24,649,679,"ok",8,649,0.0165485749772,0.001373876,0.00899961,0.010373486,74575872
25,653,649,"ok",10,649,0.0258320503873,0.001826502,0.009077205,0.010903707,74575872
26,653,653,"ok",2,653,3.71890488854e-16,0.000431566,0.009084178,0.009515744,74575872
27,632,653,"ok",5,632,0.0156661038862,0.000955254,0.009160361,0.010115615,74575872
28,623,632,"ok",5,623,0.0127653819985,0.00088325,0.009164888,0.010048138,74575872
29,623,623,"ok",4,619,0.0301337625756,0.000755691,0.009146745,0.009902436,74575872
30,594,623,"ok",10,594,0.0148711951669,0.001420914,0.00910691,0.010527824,74575872
31,581,594,"ok",7,581,0.0159007393417,0.001127787,0.009155992,0.010283779,74575872
32,581,581,"ok",2,581,4.27466020551e-16,0.000367236,0.009071004,0.00943824,74575872
33,545,581,"ok",5,545,0.01470265959,0.000742166,0.009032652,0.009774818,74575872
34,531,545,"ok",12,531,0.0184878456525,0.00152554,0.009049163,0.010574703,74575872
35,531,531,"ok",2,531,3.74637477969e-16,0.000319477,0.009179015,0.009498492,74575872
36,511,531,"ok",3,511,0.00923910839046,0.00041782,0.009166773,0.009584593,74575872
37,503,511,"ok",5,503,0.01443894793,0.0005944,0.00915456,0.00974896,74575872
38,502,503,"ok",3,502,0.00843056983101,0.000408874,0.009092414,0.009501288,74575872
39,519,502,"ok",4,519,0.0124574057423,0.000518037,0.009115777,0.009633814,74575872
40,525,519,"ok",4,524,0.0152536329948,0.000579713,0.009116638,0.009696351,74575872
41,536,525,"ok",4,536,0.0151546493886,0.000608707,0.009076223,0.00968493,74575872
42,544,536,"ok",4,544,0.0153798871544,0.000644434,0.009057168,0.009701602,74575872
43,570,544,"rejected: residual_rmse_m 0.1709 > 0.1200",5,566,0.170861409374,0.000846361,0.009051808,0.009898169,74575872
44,615,570,"ok",5,615,0.0188052515068,0.000854176,0.009141765,0.009995941,74575872
45,644,615,"ok",6,642,0.0212608971109,0.00103308,0.00916001,0.01019309,74575872
46,662,644,"ok",7,662,0.0206901831565,0.001154105,0.009246962,0.010401067,74575872
47,679,662,"ok",8,678,0.0196957078621,0.00130087,0.009113844,0.010414714,74575872
48,734,679,"ok",7,718,0.117573003417,0.001422988,0.009206126,0.010629114,74575872
49,727,734,"ok",7,727,0.0204882302413,0.001477219,0.009190046,0.010667265,74575872
50,742,727,"ok",6,740,0.0201165766008,0.001302433,0.009132629,0.010435062,74575872
51,760,742,"ok",7,751,0.0519578876765,0.001374878,0.009106149,0.010481027,74575872
52,774,760,"ok",9,773,0.0224849125464,0.001845958,0.009103244,0.010949202,74575872
53,818,774,"ok",13,816,0.024121426443,0.002917399,0.009149961,0.01206736,74575872
54,853,818,"ok",9,842,0.0405062235663,0.002276692,0.009159179,0.011435871,74575872
55,921,853,"ok",5,917,0.0254713239461,0.001783341,0.009105698,0.010889039,74575872
56,913,921,"ok",9,906,0.0267590209732,0.002555093,0.009142537,0.01169763,74575872
57,981,913,"ok",9,966,0.0715543823677,0.003129976,0.009172724,0.0123027,74575872
58,990,981,"ok",7,975,0.043950531832,0.002723507,0.009143038,0.011866545,74575872
59,1020,990,"ok",9,1007,0.0395265173943,0.003546114,0.009141866,0.01268798,74575872
60,1053,1020,"ok",9,1034,0.0369407663724,0.003692457,0.009192641,0.012885098,74575872
61,1104,1053,"ok",20,1093,0.0609866221282,0.007640722,0.00920257,0.016843292,74575872
62,1104,1104,"ok",2,1104,1.19816732563e-15,0.000820953,0.009194394,0.010015347,74575872
63,1131,1104,"ok",11,1127,0.0252205968412,0.004601245,0.009274844,0.013876089,74575872
64,1159,1131,"ok",9,1156,0.0253507059792,0.004380432,0.009303929,0.013684361,74575872
65,1205,1159,"ok",12,1204,0.0249802295983,0.005632761,0.009275956,0.014908717,74575872
