seed,method,descriptor_dim,with_se,model_parameters,checkpoint_size_bytes,checkpoint_sha256,validation_threshold,validation_f1,validation_recall_at_1,validation_recall_at_5,test_precision,test_recall,test_f1,test_recall_at_1,test_recall_at_5,test_evaluable_queries,inference_scope,inference_mean_ms,inference_median_ms,inference_p95_ms,fps_from_mean,peak_gpu_allocated_bytes
42,hsv_histogram,512,N/A,N/A,N/A,N/A,0.9209814071655273,0.17536813922356093,0.4423076923076923,0.5576923076923077,0.6978999345588672,0.5644517153442717,0.6241221536497127,0.9428571428571428,0.9571428571428572,140,CPU image read + resize + HSV histogram; one frame,8.327248987419047,7.549250000010943,11.984389999270206,120.08767859719548,N/A
42,mobilenetv3_imagenet_frozen,576,True,927008,N/A,N/A,0.8791384696960449,0.3713561470215463,0.5769230769230769,0.6346153846153846,0.7288296385060915,0.702352884569119,0.7153463526990274,0.9857142857142858,0.9857142857142858,140,model forward only; batch=1; preprocessed tensor already on device,4.756897000079334,4.456849997950485,6.558995001068979,210.2210747853742,66036224
42,mobilenetv3_no_se,128,False,539224,2269163,bcf6a83e84bd895c42e74ef7d976b2861ac5c8b0438d00ee01e42c279b0313dc,0.8700187802314758,0.2535014005602241,0.5576923076923077,0.6730769230769231,0.5586975689633455,0.853678487225136,0.6753840004568036,0.9571428571428572,0.9785714285714285,140,model forward only; batch=1; preprocessed tensor already on device,3.7368759999299073,3.4682000004977454,4.96606499873451,267.6032065336814,88564224
42,mobilenetv3_se,128,True,1000864,4126243,b34eadf5beb13145aaeb6efb695a40bc9341f772463befa8b4e7be6e3ee1660d,0.7325068712234497,0.4464186563020544,0.5769230769230769,0.8269230769230769,0.564431586113002,0.7979117547995959,0.661164603392939,0.9428571428571428,0.9714285714285714,140,model forward only; batch=1; preprocessed tensor already on device,4.727138999951421,4.441799999767682,6.63492500243592,211.54444580755433,96117248
20260724,hsv_histogram,512,N/A,N/A,N/A,N/A,0.9209814071655273,0.17536813922356093,0.4423076923076923,0.5576923076923077,0.6978999345588672,0.5644517153442717,0.6241221536497127,0.9428571428571428,0.9571428571428572,140,CPU image read + resize + HSV histogram; one frame,7.194196202517214,6.898899999214336,9.036949999062923,139.00093517745663,N/A
20260724,mobilenetv3_imagenet_frozen,576,True,927008,N/A,N/A,0.8791384696960449,0.3713561470215463,0.5769230769230769,0.6346153846153846,0.7288296385060915,0.702352884569119,0.7153463526990274,0.9857142857142858,0.9857142857142858,140,model forward only; batch=1; preprocessed tensor already on device,4.657850000257895,4.256599999280297,7.0354900000893394,214.69132753193688,66036224
20260724,mobilenetv3_no_se,128,False,539224,2269163,ecb1f7bf209c7ce5f0c263466682e54744fc7806bd8d2a964570f174b6ed9a32,0.8635768890380859,0.2295673076923077,0.5,0.7115384615384616,0.48734030197444833,0.9085310109223885,0.634390538906061,0.9785714285714285,0.9928571428571429,140,model forward only; batch=1; preprocessed tensor already on device,3.6910469999565976,3.3238999985769624,5.520399999295477,270.9258375771858,88564224
20260724,mobilenetv3_se,128,True,1000864,4126243,9fe8eb73c1d5d7d1137fbecc2a3d2c7441fe4935e10b9f8924f59ee3cfe1e500,0.6967648267745972,0.45010395010395005,0.6153846153846154,0.8076923076923077,0.5038615674513655,0.9134869845546841,0.6494817146180425,0.9642857142857143,0.9928571428571429,140,model forward only; batch=1; preprocessed tensor already on device,5.116000000234635,4.796850000275299,7.371060001423757,195.465207184155,96117248
20260914,hsv_histogram,512,N/A,N/A,N/A,N/A,0.9209814071655273,0.17536813922356093,0.4423076923076923,0.5576923076923077,0.6978999345588672,0.5644517153442717,0.6241221536497127,0.9428571428571428,0.9571428571428572,140,CPU image read + resize + HSV histogram; one frame,8.109297595024433,7.957550000355695,9.256714999355609,123.3152425696602,N/A
20260914,mobilenetv3_imagenet_frozen,576,True,927008,N/A,N/A,0.8791384696960449,0.3713561470215463,0.5769230769230769,0.6346153846153846,0.7288296385060915,0.702352884569119,0.7153463526990274,0.9857142857142858,0.9857142857142858,140,model forward only; batch=1; preprocessed tensor already on device,4.917706999840448,4.707099998995545,5.997310001112053,203.3468037100308,66036224
20260914,mobilenetv3_no_se,128,False,539224,2269163,7e386cd3ff49f2d9f96163ea44cc89134350e8a3f80d31648dcdd7a3660b4636,0.8760586977005005,0.19449715370018972,0.5,0.6923076923076923,0.5055217311088268,0.9228696530818458,0.6532252571350725,0.9857142857142858,0.9857142857142858,140,model forward only; batch=1; preprocessed tensor already on device,3.3807239998714067,3.070400001888629,4.900325000744488,295.79462861743144,88564224
20260914,mobilenetv3_se,128,True,1000864,4126243,c124106aa9b1fd14bd878a25f611c4587eba016e89794fab9285bb4d4a4cd79f,0.7602324485778809,0.42616033755274263,0.6923076923076923,0.8461538461538461,0.5782531318700492,0.7973343598133089,0.6703478964401295,0.95,0.9571428571428572,140,model forward only; batch=1; preprocessed tensor already on device,4.604766000047675,4.376400002001901,6.237460002193984,217.16630117353336,96117248
