frame_index,rgb_timestamp,rgb_path,depth_path,rgb_depth_offset_s,rgb_ground_truth_offset_s,point_count,rgbd_read_runtime_s,preprocessing_runtime_s,registration_runtime_s,compute_runtime_s,input_to_pose_runtime_s,process_rss_bytes_after_frame
0,1305031102.175304,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.175304.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.160407.png,0.014896869659423828,0.0004961490631103516,1286,0.015367599999080994,0.0017327999994449783,0.0,0.0017327999994449783,0.017100399998525972,70848512
1,1305031102.211214,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.211214.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.226738.png,0.015523910522460938,0.004685878753662109,1294,0.008040999999138876,0.0016031000013754237,0.03377530000034312,0.035378400001718546,0.04341940000085742,70803456
2,1305031102.275326,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.275326.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.262886.png,0.012439966201782227,0.00047397613525390625,1181,0.008369799999854877,0.0015770999998494517,0.016485100000863895,0.018062200000713347,0.026432000000568223,70901760
3,1305031102.311267,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.311267.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.295279.png,0.015987873077392578,0.004533052444458008,1158,0.008520299999872805,0.0017895999990287237,0.015524899999945774,0.017314499998974497,0.025834799998847302,71700480
4,1305031102.343233,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.343233.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.329195.png,0.0140380859375,0.002566814422607422,1047,0.008389399999941816,0.0017017000009218464,0.01047620000099414,0.012177900001915987,0.020567300001857802,70918144
5,1305031102.375329,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.375329.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.363013.png,0.012315988540649414,0.00047087669372558594,1067,0.008153099999617552,0.0017711999989842298,0.008061300000917981,0.009832499999902211,0.017985599999519764,71118848
6,1305031102.411258,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.411258.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.394772.png,0.016485929489135742,0.004642009735107422,1031,0.008247600000686361,0.0015751999999338295,0.006433299999116571,0.0080084999990504,0.01625609999973676,71114752
7,1305031102.443271,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.443271.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.427815.png,0.015455961227416992,0.002529144287109375,1005,0.008333100000527338,0.0016549000010854797,0.009286299999075709,0.010941200000161189,0.019274300000688527,71106560
8,1305031102.475318,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.475318.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.462395.png,0.012923002243041992,0.0004820823669433594,1017,0.008153400000082911,0.0017389999993611127,0.013611500000479282,0.015350499999840395,0.023503899999923306,71106560
9,1305031102.511219,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.511219.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.526330.png,0.015110969543457031,0.0046808719635009766,930,0.007874500000980333,0.0016789000001153909,0.007511600000725593,0.009190500000840984,0.017065000001821318,71053312
10,1305031102.575286,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.575286.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.562224.png,0.013062000274658203,0.000614166259765625,883,0.007981400000062422,0.0016481000002386281,0.00915030000032857,0.010798400000567199,0.01877980000062962,71081984
11,1305031102.611233,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.611233.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.626818.png,0.015584945678710938,0.004667043685913086,842,0.008311100000355509,0.001786099999662838,0.01215299999967101,0.013939099999333848,0.022250199999689357,71061504
12,1305031102.675285,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.675285.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.663273.png,0.012012004852294922,0.0006148815155029297,794,0.008126799999445211,0.0016496000007464318,0.003642399999080226,0.005291999999826658,0.013418799999271869,71041024
13,1305031102.711263,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.711263.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.695165.png,0.0160980224609375,0.004637002944946289,779,0.007912799999758136,0.001556900000650785,0.005185699999856297,0.006742600000507082,0.014655400000265217,71098368
14,1305031102.743234,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.743234.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.728423.png,0.014810800552368164,0.002566099166870117,747,0.007726300000285846,0.001556499999423977,0.004588700001477264,0.006145200000901241,0.013871500001187087,71122944
