frame_index,rgb_timestamp,rgb_path,depth_path,rgb_depth_offset_s,rgb_ground_truth_offset_s,point_count,rgbd_read_runtime_s,base_preprocessing_runtime_s,normal_estimation_runtime_s,preprocessing_runtime_s,registration_runtime_s,compute_runtime_s,input_to_pose_runtime_s,process_rss_bytes_after_frame
0,1305031102.175304,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.175304.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.160407.png,0.014896869659423828,0.0004961490631103516,1286,0.009754899998370092,0.002529800000047544,0.009505799998805742,0.012035599998853286,0.0,0.012035599998853286,0.021790499997223378,148631552
1,1305031102.211214,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.211214.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.226738.png,0.015523910522460938,0.004685878753662109,1294,0.012413999998898362,0.0026706999997259118,0.0074349000005895505,0.010105600000315462,0.011619300001257216,0.021724900001572678,0.03413890000047104,149467136
2,1305031102.275326,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.275326.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.262886.png,0.012439966201782227,0.00047397613525390625,1181,0.011254799999733223,0.0033031999992090277,0.004901300000710762,0.00820449999991979,0.007961199999044766,0.016165699998964556,0.027420499998697778,150020096
3,1305031102.311267,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.311267.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.295279.png,0.015987873077392578,0.004533052444458008,1158,0.013964199999463744,0.003572899999198853,0.005889400001251488,0.009462300000450341,0.007567599999674712,0.017029900000125053,0.030994099999588798,150659072
4,1305031102.343233,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.343233.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.329195.png,0.0140380859375,0.002566814422607422,1047,0.014371200000823592,0.003538299999490846,0.004612200000337907,0.008150499999828753,0.007682599998588557,0.01583309999841731,0.030204299999240902,151011328
5,1305031102.375329,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.375329.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.363013.png,0.012315988540649414,0.00047087669372558594,1067,0.01439829999981157,0.0036832000005233567,0.0044202000008226605,0.008103400001346017,0.007143299999370356,0.015246700000716373,0.029645000000527943,151212032
6,1305031102.411258,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.411258.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.394772.png,0.016485929489135742,0.004642009735107422,1031,0.014065299999856506,0.003896399999575806,0.00430170000072394,0.008198100000299746,0.007041900000331225,0.015240000000630971,0.029305300000487478,151285760
7,1305031102.443271,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.443271.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.427815.png,0.015455961227416992,0.002529144287109375,1005,0.01389039999958186,0.0035790000001725275,0.004189199999018456,0.007768199999190983,0.006416199999875971,0.014184399999066954,0.028074799998648814,151289856
8,1305031102.475318,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.475318.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.462395.png,0.012923002243041992,0.0004820823669433594,1017,0.013495200000761542,0.003744100000403705,0.004265700001269579,0.008009800001673284,0.007059699999445002,0.015069500001118286,0.028564700001879828,151289856
9,1305031102.511219,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.511219.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.526330.png,0.015110969543457031,0.0046808719635009766,930,0.013693600001715822,0.0037292000015440863,0.004327600001488463,0.00805680000303255,0.00655929999993532,0.014616100002967869,0.02830970000468369,151310336
10,1305031102.575286,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.575286.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.562224.png,0.013062000274658203,0.000614166259765625,883,0.01402330000018992,0.0036223999995854683,0.004630600000382401,0.00825299999996787,0.006647299998803646,0.014900299998771516,0.028923599998961436,151322624
11,1305031102.611233,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.611233.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.626818.png,0.015584945678710938,0.004667043685913086,842,0.014180199999827892,0.0038860999993630685,0.00432120000004943,0.008207299999412498,0.010519400000703172,0.01872670000011567,0.03290689999994356,151322624
12,1305031102.675285,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.675285.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.663273.png,0.012012004852294922,0.0006148815155029297,794,0.014649100001406623,0.0037193000007391674,0.004556500000035157,0.008275800000774325,0.006923400000232505,0.01519920000100683,0.029848300002413453,151334912
13,1305031102.711263,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.711263.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.695165.png,0.0160980224609375,0.004637002944946289,779,0.014189700001224992,0.0035559999996621627,0.003968200000599609,0.0075242000002617715,0.006413099999917904,0.013937300000179675,0.028127000001404667,151343104
14,1305031102.743234,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.743234.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.728423.png,0.014810800552368164,0.002566099166870117,747,0.01374509999914153,0.0035095999992336147,0.004500700000789948,0.008010300000023562,0.006452900001022499,0.014463200001046062,0.02820830000018759,151347200
15,1305031102.775472,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.775472.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.763549.png,0.011922836303710938,0.00032806396484375,791,0.014455399999860674,0.0037210999998933403,0.004399899999043555,0.008120999998936895,0.005973999999696389,0.014094999998633284,0.028550399998493958,151347200
16,1305031102.811232,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.811232.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.794978.png,0.016254186630249023,0.004667997360229492,765,0.014358599999468424,0.003981300000305055,0.004206699999485863,0.008187999999790918,0.006557600001542596,0.014745600001333514,0.02910420000080194,151351296
17,1305031102.84329,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.843290.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.828537.png,0.014753103256225586,0.0025098323822021484,698,0.01402830000006361,0.0039038000013533747,0.003951400000005378,0.007855200001358753,0.0058547999997244915,0.013710000001083245,0.027738300001146854,151355392
18,1305031102.875363,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.875363.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.862808.png,0.012555122375488281,0.0004367828369140625,718,0.013738799998463946,0.0037461000010807766,0.003922500000044238,0.007668600001125014,0.005762300001151743,0.013430900002276758,0.027169700000740704,151355392
19,1305031102.911185,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.911185.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.926851.png,0.01566600799560547,0.0047149658203125,679,0.01402339999913238,0.0036973999995097984,0.003829899998891051,0.007527299998400849,0.006366199999320088,0.013893499997720937,0.027916899996853317,151359488
20,1305031102.975203,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.975203.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.962137.png,0.01306605339050293,0.0006968975067138672,649,0.014205299999957788,0.0035064000003330875,0.003858800000671181,0.007365200001004268,0.005840300000272691,0.01320550000127696,0.027410800001234747,151359488
21,1305031103.011215,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.011215.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.994164.png,0.017050981521606445,0.004684925079345703,671,0.013751700000284472,0.003616700001657591,0.003974400000515743,0.007591100002173334,0.00601719999940542,0.013608300001578755,0.027360000001863227,151359488
22,1305031103.043227,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.043227.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.027881.png,0.015346050262451172,0.0025730133056640625,653,0.013954799998828094,0.0036362999999255408,0.003993100001025596,0.0076294000009511365,0.005853099999512779,0.013482500000463915,0.02743729999929201,151359488
23,1305031103.075319,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.075319.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.062273.png,0.013046026229858398,0.00048089027404785156,632,0.013920800000050804,0.003444100000706385,0.003750600000785198,0.007194700001491583,0.005508500000360073,0.012703200001851656,0.02662400000190246,151363584
24,1305031103.11124,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.111240.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.094040.png,0.017199993133544922,0.004559993743896484,623,0.014160299999275594,0.0035272999994049314,0.0039061000006768154,0.007433400000081747,0.0058214000000589294,0.013254800000140676,0.02741509999941627,151363584
25,1305031103.143318,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.143318.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.129109.png,0.01420903205871582,0.002582073211669922,623,0.013838899998518173,0.003525800000716117,0.003921599998648162,0.007447399999364279,0.005357100000765058,0.012804500000129337,0.02664339999864751,151363584
26,1305031103.175452,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.175452.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.162795.png,0.012656927108764648,0.00034809112548828125,594,0.01393620000089868,0.003633399999671383,0.003861399998640991,0.007494799998312374,0.005557299999054521,0.013052099997366895,0.026988299998265575,151363584
27,1305031103.243216,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.243216.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.227845.png,0.015371084213256836,0.0025839805603027344,581,0.013903200000640936,0.0036206000004312955,0.003772799998841947,0.007393399999273242,0.005255899999610847,0.01264929999888409,0.026552499999525025,151363584
28,1305031103.27537,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.275370.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.262576.png,0.012793779373168945,0.00043010711669921875,545,0.01369909999993979,0.003573800000594929,0.003660899999886169,0.007234700000481098,0.005794299999251962,0.01302899999973306,0.02672809999967285,151367680
29,1305031103.31121,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.311210.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.294208.png,0.017001867294311523,0.004590034484863281,532,0.013689199999134871,0.0036690999986603856,0.0036409999993338715,0.007310099997994257,0.005719099999623722,0.01302919999761798,0.02671839999675285,151379968
30,1305031103.343223,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.343223.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.327550.png,0.015673160552978516,0.0026769638061523438,531,0.013889700001527672,0.0038623000000370666,0.004109800000151154,0.00797210000018822,0.00539310000021942,0.01336520000040764,0.02725490000193531,151379968
31,1305031103.375327,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.375327.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.362405.png,0.012922048568725586,0.0005729198455810547,511,0.013840499999787426,0.0035289000006741844,0.003745100000742241,0.007274000001416425,0.005693600000086008,0.012967600001502433,0.02680810000128986,151379968
32,1305031103.41126,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.411260.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.394162.png,0.017097949981689453,0.004540205001831055,503,0.013920499999585445,0.003503699999782839,0.0036053999992873287,0.0071090999990701675,0.005084300000817166,0.012193399999887333,0.02611389999947278,151379968
33,1305031103.44328,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.443280.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.428437.png,0.014842987060546875,0.0025200843811035156,502,0.01373799999964831,0.0036290000007284107,0.003944799998862436,0.007573799999590847,0.005034600000726641,0.012608400000317488,0.026346399999965797,151379968
34,1305031103.475274,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.475274.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.463886.png,0.011388063430786133,0.0006258487701416016,519,0.013814600000841892,0.003630499999417225,0.0037962999995215796,0.0074267999989388045,0.005401599999458995,0.0128283999983978,0.02664299999923969,151379968
35,1305031103.511333,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.511333.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.494472.png,0.0168609619140625,0.004667043685913086,525,0.013974100000268663,0.0036252999998396263,0.0037884999983361922,0.0074137999981758185,0.0052044000003661495,0.012618199998541968,0.02659229999881063,151379968
36,1305031103.543444,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.543444.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.531502.png,0.011941909790039062,0.0023560523986816406,536,0.013806900000417954,0.0036784000003535766,0.0038277000003290595,0.007506100000682636,0.005199999999604188,0.012706100000286824,0.02651300000070478,151379968
37,1305031103.575474,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.575474.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.562651.png,0.012823104858398438,0.0004260540008544922,544,0.013806499999191146,0.0036755000000994187,0.0036871000011160504,0.007362600001215469,0.004973299999619485,0.012335900000834954,0.0261424000000261,151379968
38,1305031103.611223,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.611223.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.595310.png,0.015913009643554688,0.0046770572662353516,570,0.013557399999626796,0.003727999999682652,0.004055300001709838,0.00778330000139249,0.005591099999946891,0.013374400001339382,0.026931800000966177,151379968
39,1305031103.643445,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.643445.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.631376.png,0.012068986892700195,0.0023550987243652344,615,0.013449100000798353,0.00373579999904905,0.00380820000100357,0.00754400000005262,0.006137500000477303,0.013681500000529923,0.027130600001328276,150355968
40,1305031103.675523,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.675523.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.663594.png,0.011929035186767578,0.0002770423889160156,644,0.014164000000164378,0.0037634000000252854,0.004192299998976523,0.007955699999001808,0.005796899999040761,0.01375259999804257,0.027916599998206948,152100864
41,1305031103.71161,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.711610.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.694695.png,0.016915082931518555,0.004189968109130859,662,0.013574000000517117,0.0035891999996238155,0.004184600000371574,0.00777379999999539,0.005734000000302331,0.01350780000029772,0.027081800000814837,152133632
42,1305031103.743326,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.743326.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.731542.png,0.011783838272094727,0.002474069595336914,679,0.01354929999979504,0.003658599998743739,0.004363499998362386,0.008022099997106125,0.005942600000707898,0.013964699997814023,0.027513999997609062,150532096
43,1305031103.775342,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.775342.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.762865.png,0.012476921081542969,0.00045800209045410156,734,0.014313399999082321,0.003721800001585507,0.00449300000036601,0.008214800001951517,0.0060945000004721805,0.014309300002423697,0.02862270000150602,152199168
