frame_index,rgb_timestamp,rgb_path,depth_path,rgb_depth_offset_s,rgb_ground_truth_offset_s,point_count,rgbd_read_runtime_s,base_preprocessing_runtime_s,normal_estimation_runtime_s,preprocessing_runtime_s,registration_runtime_s,compute_runtime_s,input_to_pose_runtime_s,process_rss_bytes_after_frame
0,1305031102.175304,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.175304.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.160407.png,0.014896869659423828,0.0004961490631103516,1286,0.00879729999905976,0.0019768000001931796,0.0060684999989462085,0.008045299999139388,0.0,0.008045299999139388,0.016842599998199148,147935232
1,1305031102.211214,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.211214.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.226738.png,0.015523910522460938,0.004685878753662109,1294,0.01057539999965229,0.0025521999996271916,0.008397799998419941,0.010949999998047133,0.012086500000805245,0.023036499998852378,0.03361189999850467,148832256
2,1305031102.275326,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.275326.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.262886.png,0.012439966201782227,0.00047397613525390625,1181,0.014168199999403441,0.003867399998853216,0.006095300001106807,0.009962699999960023,0.008327100000315113,0.018289800000275136,0.03245799999967858,149348352
3,1305031102.311267,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.311267.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.295279.png,0.015987873077392578,0.004533052444458008,1158,0.014906799999153009,0.0038751000010961434,0.0060052999997424195,0.009880400000838563,0.007803800001056516,0.01768420000189508,0.03259100000104809,149692416
4,1305031102.343233,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.343233.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.329195.png,0.0140380859375,0.002566814422607422,1047,0.014369700000315788,0.00360499999987951,0.005990300000121351,0.009595300000000861,0.008082399999693735,0.017677699999694596,0.032047400000010384,150315008
5,1305031102.375329,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.375329.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.363013.png,0.012315988540649414,0.00047087669372558594,1067,0.014377299999978277,0.0037302999990060925,0.004462400000193156,0.008192699999199249,0.006736100000125589,0.014928799999324838,0.029306099999303115,150319104
6,1305031102.411258,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.411258.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.394772.png,0.016485929489135742,0.004642009735107422,1031,0.01397980000001553,0.0038848000003781635,0.004634299999452196,0.00851909999983036,0.00686160000077507,0.01538070000060543,0.02936050000062096,150323200
7,1305031102.443271,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.443271.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.427815.png,0.015455961227416992,0.002529144287109375,1005,0.01419759999953385,0.003722699999343604,0.004489700000704033,0.008212400000047637,0.006831300001067575,0.015043700001115212,0.029241300000649062,150949888
8,1305031102.475318,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.475318.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.462395.png,0.012923002243041992,0.0004820823669433594,1017,0.01391189999958442,0.0038153000004967907,0.00466480000068259,0.00848010000117938,0.00721230000090145,0.01569240000208083,0.02960430000166525,150949888
9,1305031102.511219,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.511219.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.526330.png,0.015110969543457031,0.0046808719635009766,930,0.014079900000069756,0.0038485000004584435,0.004664299998694332,0.008512799999152776,0.0072220000001834705,0.015734799999336246,0.029814699999406002,150958080
10,1305031102.575286,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.575286.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.562224.png,0.013062000274658203,0.000614166259765625,883,0.014015700000527431,0.0038045999990572454,0.004685399999289075,0.00848999999834632,0.006710999999995693,0.015200999998342013,0.029216699998869444,151080960
11,1305031102.611233,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.611233.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.626818.png,0.015584945678710938,0.004667043685913086,842,0.014118699999016826,0.0038795000000391155,0.0046058000007178634,0.008485300000756979,0.009599899998647743,0.018085199999404722,0.03220389999842155,151080960
12,1305031102.675285,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.675285.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.663273.png,0.012012004852294922,0.0006148815155029297,794,0.014501699999527773,0.0037259000000631204,0.004572199999529403,0.008298099999592523,0.006347099999402417,0.01464519999899494,0.029146899998522713,151179264
13,1305031102.711263,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.711263.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.695165.png,0.0160980224609375,0.004637002944946289,779,0.014294700000391458,0.0035722000011446653,0.0043358999992051395,0.007908100000349805,0.006291100000453298,0.014199200000803103,0.02849390000119456,151216128
14,1305031102.743234,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.743234.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.728423.png,0.014810800552368164,0.002566099166870117,747,0.013803700001517427,0.0036123999998380896,0.0044410999998945044,0.008053499999732594,0.005897200000617886,0.01395070000035048,0.027754400001867907,151252992
15,1305031102.775472,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.775472.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.763549.png,0.011922836303710938,0.00032806396484375,791,0.013836500000252272,0.003835899999103276,0.004324699999415316,0.008160599998518592,0.006183499999679043,0.014344099998197635,0.028180599998449907,151252992
16,1305031102.811232,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.811232.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.794978.png,0.016254186630249023,0.004667997360229492,765,0.014014700000188896,0.0036830999997619074,0.004194999999526772,0.007878099999288679,0.006079299999328214,0.013957399998616893,0.02797209999880579,151257088
17,1305031102.84329,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.843290.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.828537.png,0.014753103256225586,0.0025098323822021484,698,0.013829199999236153,0.0035747000001720153,0.0042310000008001225,0.007805700000972138,0.00674569999864616,0.014551399999618297,0.02838059999885445,151261184
18,1305031102.875363,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.875363.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.862808.png,0.012555122375488281,0.0004367828369140625,718,0.014191199999913806,0.00369930000124441,0.004418800001076306,0.008118100002320716,0.006280499999775202,0.014398600002095918,0.028589800002009724,151261184
19,1305031102.911185,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.911185.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.926851.png,0.01566600799560547,0.0047149658203125,679,0.01382019999982731,0.0039109000008465955,0.0045588000011775875,0.008469700002024183,0.006118499999502092,0.014588200001526275,0.028408400001353584,151298048
20,1305031102.975203,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.975203.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.962137.png,0.01306605339050293,0.0006968975067138672,649,0.01383209999949031,0.0036677999996754806,0.004284799999368261,0.007952599999043741,0.006751999999323743,0.014704599998367485,0.028536699997857795,151302144
21,1305031103.011215,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.011215.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.994164.png,0.017050981521606445,0.004684925079345703,671,0.013950300000942661,0.0037128000003576744,0.004197099999146303,0.007909899999503978,0.006230599999980768,0.014140499999484746,0.028090800000427407,151306240
22,1305031103.043227,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.043227.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.027881.png,0.015346050262451172,0.0025730133056640625,653,0.01408389999960491,0.0037520999994740123,0.004261300000507617,0.00801339999998163,0.005571699999563862,0.013585099999545491,0.0276689999991504,151302144
23,1305031103.075319,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.075319.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.062273.png,0.013046026229858398,0.00048089027404785156,632,0.01410550000036892,0.0036163000004307833,0.004232999999658205,0.007849300000088988,0.005696100000932347,0.013545400001021335,0.027650900001390255,151924736
24,1305031103.11124,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.111240.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.094040.png,0.017199993133544922,0.004559993743896484,623,0.01394359999903827,0.003730399999767542,0.004377699999167817,0.008108099998935359,0.005807800000184216,0.013915899999119574,0.027859499998157844,151924736
25,1305031103.143318,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.143318.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.129109.png,0.01420903205871582,0.002582073211669922,623,0.013967299999421812,0.0035974999991594814,0.005620099998850492,0.009217599998009973,0.005985100000543753,0.015202699998553726,0.029169999997975538,151924736
26,1305031103.175452,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.175452.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.162795.png,0.012656927108764648,0.00034809112548828125,594,0.013218399999459507,0.0035971999986941228,0.003723399999216781,0.007320599997910904,0.005742499999541906,0.01306309999745281,0.026281499996912316,151924736
27,1305031103.243216,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.243216.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.227845.png,0.015371084213256836,0.0025839805603027344,581,0.013286800000059884,0.003579399999580346,0.004342199999882723,0.00792159999946307,0.005815200000142795,0.013736799999605864,0.02702359999966575,151924736
28,1305031103.27537,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.275370.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.262576.png,0.012793779373168945,0.00043010711669921875,545,0.013567699999839533,0.003621699999712291,0.003977800000939169,0.00759950000065146,0.005738599998949212,0.013338099999600672,0.026905799999440205,151928832
29,1305031103.31121,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.311210.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.294208.png,0.017001867294311523,0.004590034484863281,532,0.013397799999438575,0.0036639999998442363,0.004429900000104681,0.008093899999948917,0.005671599999914179,0.013765499999863096,0.02716329999930167,151932928
30,1305031103.343223,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.343223.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.327550.png,0.015673160552978516,0.0026769638061523438,531,0.01375469999948109,0.003693000000566826,0.003852499999993597,0.007545500000560423,0.005586799999946379,0.013132300000506802,0.026886999999987893,151932928
31,1305031103.375327,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.375327.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.362405.png,0.012922048568725586,0.0005729198455810547,511,0.013659800000823452,0.003524400000969763,0.004020000000309665,0.007544400001279428,0.005574900000283378,0.013119300001562806,0.026779100002386258,151932928
32,1305031103.41126,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.411260.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.394162.png,0.017097949981689453,0.004540205001831055,503,0.013584799999080133,0.00360269999873708,0.0037333000000217,0.00733599999875878,0.005157699999472243,0.012493699998231023,0.026078499997311155,151932928
33,1305031103.44328,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.443280.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.428437.png,0.014842987060546875,0.0025200843811035156,502,0.013563200000135112,0.0035640000005514594,0.003985300001659198,0.007549300002210657,0.005668600000717561,0.013217900002928218,0.02678110000306333,151932928
34,1305031103.475274,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.475274.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.463886.png,0.011388063430786133,0.0006258487701416016,519,0.013419900000371854,0.003519800000503892,0.003988500000559725,0.007508300001063617,0.005492899999808287,0.013001200000871904,0.026421100001243758,151932928
35,1305031103.511333,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.511333.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.494472.png,0.0168609619140625,0.004667043685913086,525,0.013402499998846906,0.003598900000724825,0.004000099999757367,0.007599000000482192,0.005530700000235811,0.013129700000718003,0.02653219999956491,151932928
36,1305031103.543444,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.543444.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.531502.png,0.011941909790039062,0.0023560523986816406,536,0.013482700000167824,0.0035778000001300825,0.004244300000209478,0.00782210000033956,0.005832699998791213,0.013654799999130773,0.027137499999298598,151932928
37,1305031103.575474,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.575474.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.562651.png,0.012823104858398438,0.0004260540008544922,544,0.013645500001075561,0.0036130999997112667,0.004278499998690677,0.007891599998401944,0.006078000000343309,0.013969599998745252,0.027615099999820814,151932928
38,1305031103.611223,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.611223.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.595310.png,0.015913009643554688,0.0046770572662353516,570,0.013501399998858687,0.003777300000365358,0.003916700001354911,0.007694000001720269,0.005691200000001118,0.013385200001721387,0.026886600000580074,151932928
39,1305031103.643445,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.643445.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.631376.png,0.012068986892700195,0.0023550987243652344,615,0.013481899999533198,0.0035934999996243278,0.0041959000009228475,0.007789400000547175,0.00580670000090322,0.013596100001450395,0.027078000000983593,151932928
40,1305031103.675523,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.675523.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.663594.png,0.011929035186767578,0.0002770423889160156,644,0.013377699999182369,0.003712299998369417,0.004209699998682481,0.007921999997051898,0.005824600000778446,0.013746599997830344,0.027124299997012713,151932928
41,1305031103.71161,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.711610.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.694695.png,0.016915082931518555,0.004189968109130859,662,0.013828200000716606,0.0036194000003888505,0.004208099999232218,0.007827499999621068,0.006035799999153824,0.013863299998774892,0.027691499999491498,151965696
42,1305031103.743326,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.743326.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.731542.png,0.011783838272094727,0.002474069595336914,679,0.013496400000803987,0.0037333000000217,0.004401600001074257,0.008134900001095957,0.006072000000131084,0.01420690000122704,0.02770330000203103,151965696
