frame_index,rgb_timestamp,rgb_path,depth_path,rgb_depth_offset_s,rgb_ground_truth_offset_s,point_count,rgbd_read_runtime_s,base_preprocessing_runtime_s,normal_estimation_runtime_s,preprocessing_runtime_s,registration_runtime_s,compute_runtime_s,input_to_pose_runtime_s,process_rss_bytes_after_frame
0,1305031102.175304,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.175304.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.160407.png,0.014896869659423828,,1286,0.009894200000417186,0.0022364999986166367,0.009221500000421656,0.011457999999038293,0.0,0.011457999999038293,0.02135219999945548,147009536
1,1305031102.211214,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.211214.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.226738.png,0.015523910522460938,,1294,0.016488200000821962,0.0033300000013696263,0.010363600000346196,0.013693600001715822,0.010947599999781232,0.024641200001497054,0.041129400002319016,147771392
2,1305031102.275326,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.275326.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.262886.png,0.012439966201782227,,1181,0.010308900000381982,0.003199700000550365,0.004761499998494401,0.007961199999044766,0.007162400001107017,0.015123600000151782,0.025432500000533764,147996672
3,1305031102.311267,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.311267.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.295279.png,0.015987873077392578,,1158,0.01352729999962321,0.0037000999982410576,0.005780499999673339,0.009480599997914396,0.008438099999693804,0.0179186999976082,0.03144599999723141,148717568
4,1305031102.343233,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.343233.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.329195.png,0.0140380859375,,1047,0.014300200000434415,0.0036344000000099186,0.004889300000286312,0.00852370000029623,0.0074194000007992145,0.015943100001095445,0.03024330000152986,149319680
5,1305031102.375329,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.375329.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.363013.png,0.012315988540649414,,1067,0.014198499999110936,0.003679299999930663,0.004651299999750336,0.008330599999680999,0.00699949999943783,0.01533009999911883,0.029528599998229765,149393408
6,1305031102.411258,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.411258.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.394772.png,0.016485929489135742,,1031,0.014351600000736653,0.003833300001133466,0.004540100000667735,0.008373400001801201,0.007082799998897826,0.015456200000699027,0.02980780000143568,149413888
7,1305031102.443271,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.443271.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.427815.png,0.015455961227416992,,1005,0.014399499999854015,0.003678099999888218,0.004415299999891431,0.008093399999779649,0.006911000000400236,0.015004400000179885,0.0294039000000339,149495808
8,1305031102.475318,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.475318.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.462395.png,0.012923002243041992,,1017,0.014348799999424955,0.0037711999993916834,0.0044952999996894505,0.008266499999081134,0.007409199999528937,0.01567569999861007,0.030024499998035026,149504000
9,1305031102.511219,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.511219.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.526330.png,0.015110969543457031,,930,0.014066300000195042,0.003869299998768838,0.004317700000683544,0.008186999999452382,0.0068644000002677785,0.01505139999972016,0.029117699999915203,149508096
10,1305031102.575286,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.575286.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.562224.png,0.013062000274658203,,883,0.01557419999880949,0.003719700000146986,0.0041543999996065395,0.007874099999753525,0.006747100000211503,0.014621199999965029,0.03019539999877452,149520384
11,1305031102.611233,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.611233.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.626818.png,0.015584945678710938,,842,0.014184699999532313,0.0037897000001976267,0.004252599999745144,0.00804229999994277,0.010796300000947667,0.018838600000890438,0.03302330000042275,149520384
12,1305031102.675285,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.675285.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.663273.png,0.012012004852294922,,794,0.014060999999855994,0.0037319000002753455,0.004667900000640657,0.008399800000916002,0.006789299999581999,0.015189100000498001,0.029250100000353996,149528576
13,1305031102.711263,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.711263.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.695165.png,0.0160980224609375,,779,0.014077699999688775,0.003585200000088662,0.004453100000318955,0.008038300000407617,0.006427000000257976,0.014465300000665593,0.028543000000354368,149536768
14,1305031102.743234,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.743234.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.728423.png,0.014810800552368164,,747,0.014198099999703118,0.0036380000001372537,0.004139200000281562,0.007777200000418816,0.006205600000612321,0.013982800001031137,0.028180900000734255,149688320
15,1305031102.775472,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.775472.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.763549.png,0.011922836303710938,,791,0.014021899998624576,0.00381559999914316,0.004228099998726975,0.008043699997870135,0.005950300001131836,0.013993999999001971,0.028015899997626548,149700608
16,1305031102.811232,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.811232.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.794978.png,0.016254186630249023,,765,0.013864799999282695,0.0036731999989569886,0.0044565999996848404,0.008129799998641829,0.006160900000395486,0.014290699999037315,0.02815549999832001,149700608
17,1305031102.84329,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.843290.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.828537.png,0.014753103256225586,,698,0.013845700001184014,0.003790500000832253,0.004405300000144052,0.008195800000976305,0.0066960999993170844,0.01489190000029339,0.028737600001477404,149786624
18,1305031102.875363,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.875363.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.862808.png,0.012555122375488281,,718,0.016664000000673695,0.0047113999989960575,0.00452190000032715,0.009233299999323208,0.006168599999000435,0.015401899998323643,0.03206589999899734,149790720
19,1305031102.911185,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.911185.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.926851.png,0.01566600799560547,,679,0.014102099999945494,0.0037205000007816125,0.003963300001487369,0.007683800002268981,0.00642139999945357,0.014105200001722551,0.028207300001668045,149807104
20,1305031102.975203,data\rgbd_dataset_freiburg1_xyz\rgb\1305031102.975203.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.962137.png,0.01306605339050293,,649,0.013845199999195756,0.00349850000020524,0.004264999999577412,0.007763499999782653,0.005962200000794837,0.01372570000057749,0.027570899999773246,149819392
21,1305031103.011215,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.011215.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031102.994164.png,0.017050981521606445,,671,0.014204299999619252,0.003730399999767542,0.004329200000938727,0.008059600000706268,0.00640180000118562,0.014461400001891889,0.02866570000151114,149835776
22,1305031103.043227,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.043227.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.027881.png,0.015346050262451172,,653,0.01358769999933429,0.0036223999995854683,0.004139099999520113,0.007761499999105581,0.005839699999341974,0.013601199998447555,0.027188899997781846,149839872
23,1305031103.075319,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.075319.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.062273.png,0.013046026229858398,,632,0.013668300000063027,0.003476300000329502,0.003997300000264659,0.0074736000005941605,0.005704999999579741,0.013178600000173901,0.02684690000023693,149843968
24,1305031103.11124,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.111240.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.094040.png,0.017199993133544922,,623,0.013670400001501548,0.0035654000002978137,0.004204099999697064,0.007769499999994878,0.005569099999775062,0.01333859999976994,0.027009000001271488,149848064
25,1305031103.143318,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.143318.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.129109.png,0.01420903205871582,,623,0.013585699998657219,0.003559500000847038,0.004651299999750336,0.008210800000597374,0.005531500000870437,0.013742300001467811,0.02732800000012503,149860352
26,1305031103.175452,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.175452.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.162795.png,0.012656927108764648,,594,0.013467100001435028,0.0035872999997081934,0.003792999999859603,0.0073802999995677965,0.005686200000127428,0.013066499999695225,0.026533600001130253,149868544
27,1305031103.243216,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.243216.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.227845.png,0.015371084213256836,,581,0.013349299999390496,0.003620999999839114,0.003999500000645639,0.007620500000484753,0.005999099999826285,0.013619600000311038,0.026968899999701534,149868544
28,1305031103.27537,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.275370.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.262576.png,0.012793779373168945,,545,0.01397230000111449,0.003603899998779525,0.003795100001298124,0.007399000000077649,0.0059179999989282805,0.01331699999900593,0.02728930000012042,149880832
29,1305031103.31121,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.311210.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.294208.png,0.017001867294311523,,532,0.01578990000052727,0.00453410000045551,0.004269099999874015,0.008803200000329525,0.005454599999211496,0.014257799999541021,0.03004770000006829,149962752
30,1305031103.343223,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.343223.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.327550.png,0.015673160552978516,,531,0.013492500000211294,0.0036552999990817625,0.003959699999541044,0.007614999998622807,0.00640670000029786,0.014021699998920667,0.02751419999913196,149979136
31,1305031103.375327,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.375327.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.362405.png,0.012922048568725586,,511,0.014568900000085705,0.0036390999994182494,0.0038226999986363808,0.00746179999805463,0.0055591000000276836,0.013020899998082314,0.02758979999816802,149983232
32,1305031103.41126,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.411260.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.394162.png,0.017097949981689453,,503,0.013317599999936647,0.0036350999998830957,0.003999500000645639,0.007634600000528735,0.005342999998902087,0.012977599999430822,0.02629519999936747,149995520
33,1305031103.44328,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.443280.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.428437.png,0.014842987060546875,,502,0.013796299999739858,0.0035819000004266854,0.004054200000609853,0.007636100001036539,0.005468899998959387,0.013104999999995925,0.026901299999735784,149999616
34,1305031103.475274,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.475274.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.463886.png,0.011388063430786133,,519,0.013478299999405863,0.0035172000007150928,0.003910400000677328,0.00742760000139242,0.005459199999677367,0.012886800001069787,0.02636510000047565,150011904
35,1305031103.511333,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.511333.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.494472.png,0.0168609619140625,,525,0.014171699998769327,0.0036046000004716916,0.004051100000651786,0.007655700001123478,0.005456299999423209,0.013112000000546686,0.027283699999316013,150020096
36,1305031103.543444,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.543444.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.531502.png,0.011941909790039062,,536,0.013683099999980186,0.003598200000851648,0.004159399999480229,0.007757600000331877,0.0055738000010023825,0.01333140000133426,0.027014500001314445,150024192
37,1305031103.575474,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.575474.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.562651.png,0.012823104858398438,,544,0.013582600000518141,0.0036169000013615005,0.003968199998780619,0.00758510000014212,0.0054364000006899005,0.01302150000083202,0.02660410000135016,150028288
38,1305031103.611223,data\rgbd_dataset_freiburg1_xyz\rgb\1305031103.611223.png,data\rgbd_dataset_freiburg1_xyz\depth\1305031103.595310.png,0.015913009643554688,,570,0.013102599999911035,0.0037199000016698847,0.003959199999371776,0.007679100001041661,0.005513000000064494,0.013192100001106155,0.02629470000101719,150032384
