source_keyframe_id,target_keyframe_id,fitness,inlier_rmse_m,shared_correspondences,shared_correspondence_ratio,shared_inlier_rmse_m,shared_all_point_rmse_m,edge_source,quality_accepted,failure_reason
0,1,0.8833592534992224,0.027560148954755607,1136,0.8833592534992224,0.02756014895475563,0.15778510606805385,odometry_prediction_fallback,False,residual_rmse_m 0.1578 > 0.0800
1,2,0.9326424870466321,0.028052759076508015,1080,0.9326424870466321,0.02805275907650804,0.18574027707842883,odometry_prediction_fallback,False,residual_rmse_m 0.1857 > 0.0800
2,3,0.8574237954768928,0.023680855716224088,872,0.8574237954768928,0.023680855716224084,0.10990113071465421,odometry_prediction_fallback,False,residual_rmse_m 0.1099 > 0.0800
3,4,0.995249406175772,0.02131820824190947,838,0.995249406175772,0.021318208241909404,0.02243760787814084,keyframe_icp,True,
4,5,0.9203539823008849,0.02569852097841209,728,0.9203539823008849,0.025698520978412107,0.1825108748358499,odometry_prediction_fallback,False,residual_rmse_m 0.1825 > 0.0800
5,6,0.9764359351988218,0.02312856368608199,663,0.9764359351988218,0.02312856368608201,0.05187366480042238,keyframe_icp,True,
6,7,0.9085072231139647,0.021924631861038178,566,0.9085072231139647,0.021924631861038144,0.05305783223656276,keyframe_icp,True,
7,8,0.9924812030075187,0.018965437549660475,528,0.9924812030075187,0.018965437549660482,0.02053195543472956,keyframe_icp,True,
8,9,0.9984472049689441,0.01955791764750685,643,0.9984472049689441,0.019557917647506848,0.019916070149928987,keyframe_icp,True,
9,10,0.9932614555256065,0.021590004310923745,737,0.9932614555256065,0.02159000431092374,0.023870208555044296,keyframe_icp,True,
10,11,0.9941383352872216,0.022405447696106414,848,0.9941383352872216,0.02240544769610641,0.023424739706972512,keyframe_icp,True,
11,12,0.9707070707070707,0.02420113091484934,961,0.9707070707070707,0.02420113091484944,0.06141613963905117,keyframe_icp,True,
12,13,0.9891304347826086,0.02501775277038278,1092,0.9891304347826086,0.02501775277038281,0.02764505695703894,keyframe_icp,True,
13,14,0.9893004115226337,0.02473454587271614,1202,0.9893004115226337,0.02473454587271612,0.027779083698047116,keyframe_icp,True,
14,15,0.9378127233738385,0.02855941053990817,1312,0.9378127233738385,0.02855941053990823,0.054130204864414395,keyframe_icp,True,
15,16,0.916815210932858,0.030080429146926352,1543,0.916815210932858,0.030080429146926338,0.07399773057648232,keyframe_icp,True,
16,17,0.9422110552763819,0.03126665882356708,1875,0.9422110552763819,0.031266658823567106,0.049018765037812974,keyframe_icp,True,
17,18,0.7648678414096917,0.02976285486718705,1389,0.7648678414096917,0.029762854867187032,0.11718427071931971,odometry_prediction_fallback,False,residual_rmse_m 0.1172 > 0.0800
18,19,0.816711590296496,0.028240352427431885,1212,0.816711590296496,0.028240352427431867,0.11108734862785696,odometry_prediction_fallback,False,residual_rmse_m 0.1111 > 0.0800
19,20,0.9001663893510815,0.027290727585455636,1082,0.9001663893510815,0.027290727585455598,0.23915791936320585,odometry_prediction_fallback,False,residual_rmse_m 0.2392 > 0.0800
20,21,0.967098703888335,0.0254229043863782,970,0.967098703888335,0.025422904386378054,0.07488399600957797,keyframe_icp,True,
21,22,0.9438943894389439,0.025818430386236206,858,0.9438943894389439,0.02581843038623622,0.0706893479884817,keyframe_icp,True,
22,23,0.9535759096612296,0.025560437343259124,760,0.9535759096612296,0.025560437343259152,0.0548495493219465,keyframe_icp,True,
23,24,0.8565789473684211,0.02434562332806128,651,0.8565789473684211,0.02434562332806127,0.3296630784799924,odometry_prediction_fallback,False,residual_rmse_m 0.3297 > 0.0800
24,25,0.9086115992970123,0.02564600180431635,517,0.9086115992970123,0.025646001804316334,0.056889817929114336,keyframe_icp,True,
25,26,0.9959514170040485,0.018905170362730313,492,0.9959514170040485,0.01890517036273031,0.019754565196232053,keyframe_icp,True,
26,27,1.0,0.017276042232154454,525,1.0,0.017276042232154447,0.017276042232154447,keyframe_icp,True,
27,28,1.0,0.02032663901862795,623,1.0,0.02032663901862795,0.02032663901862795,keyframe_icp,True,
28,29,1.0,0.021025768200905685,687,1.0,0.021025768200905695,0.021025768200905695,keyframe_icp,True,
