processed_frame,rgb_stamp_s,depth_stamp_s,rgb_depth_offset_s,rgb_received,depth_received,unsynchronized_or_pending,status,point_count,correspondences,rmse_m,callback_latency_ms,process_peak_rss_bytes
1,1305031102.175304,1305031102.160407,0.014896869659423828,1,1,0,initialized,1286,0,,19.547999996575527,90476544
2,1305031102.211214,1305031102.226738,0.015523910522460938,2,2,0,ok,1294,1287,0.03254706049282816,19.709600004716776,91623424
3,1305031102.243211,1305031102.226738,0.016473054885864258,3,3,0,ok,1294,1294,1.439166706795996e-15,4.5196999999461696,91623424
4,1305031102.275326,1305031102.262886,0.012439966201782227,4,4,0,ok,1181,1178,0.022148250541223838,10.960900006466545,92258304
5,1305031102.311267,1305031102.295279,0.015987873077392578,5,5,0,ok,1158,1158,0.022136210568999372,12.308200006373227,92258304
6,1305031102.343233,1305031102.329195,0.0140380859375,6,6,0,ok,1047,1046,0.02100441947874942,14.258600000175647,92258304
7,1305031102.375329,1305031102.363013,0.012315988540649414,7,7,0,ok,1067,1067,0.01992707655396043,8.169699998688884,92372992
8,1305031102.411258,1305031102.394772,0.016485929489135742,8,8,0,ok,1031,1025,0.044456735103749784,8.444200007943437,92372992
9,1305031102.443271,1305031102.427815,0.015455961227416992,9,9,0,ok,1005,1004,0.02178777346428422,10.241299998597242,92692480
10,1305031102.475318,1305031102.462395,0.012923002243041992,10,10,0,ok,1017,1010,0.05774446072052571,16.944100003456697,92692480
11,1305031102.511219,1305031102.52633,0.015110969543457031,11,11,0,ok,930,930,0.019868133392484548,7.339300005696714,92692480
12,1305031102.54322,1305031102.52633,0.01689004898071289,12,12,0,ok,930,930,5.173805958035235e-16,4.896300000837073,93818880
13,1305031102.575286,1305031102.562224,0.013062000274658203,13,13,0,ok,883,883,0.01869526111768386,8.968599999207072,93818880
14,1305031102.611233,1305031102.626818,0.015584945678710938,14,14,0,ok,842,841,0.02049323914170501,10.044499998912215,93818880
15,1305031102.643265,1305031102.626818,0.016447067260742188,15,15,0,ok,842,842,7.002863182731795e-16,4.000899993116036,93818880
16,1305031102.675285,1305031102.663273,0.012012004852294922,16,16,0,ok,794,792,0.016398824943181615,4.965200001606718,93818880
17,1305031102.711263,1305031102.695165,0.0160980224609375,17,17,0,ok,779,779,0.017872285217268583,7.014499991782941,93818880
18,1305031102.743234,1305031102.728423,0.014810800552368164,18,18,0,ok,747,746,0.018432582020277394,7.133200007956475,93880320
19,1305031102.775472,1305031102.763549,0.011922836303710938,19,19,0,ok,791,791,0.01909831766335514,6.461099997977726,93880320
20,1305031102.811232,1305031102.794978,0.016254186630249023,20,20,0,ok,765,765,0.017500505784694892,7.390999991912395,93937664
21,1305031102.84329,1305031102.828537,0.014753103256225586,21,21,0,ok,698,698,0.018756296639435368,5.2943000046070665,93937664
22,1305031102.875363,1305031102.862808,0.012555122375488281,22,22,0,ok,718,718,0.0178276644546404,7.3675000021466985,94437376
23,1305031102.911185,1305031102.926851,0.01566600799560547,23,23,0,ok,679,679,0.0175873429523599,10.613099992042407,94437376
24,1305031102.943229,1305031102.926851,0.016377925872802734,24,24,0,ok,679,679,1.970256870095063e-16,4.002699992270209,94765056
25,1305031102.975203,1305031102.962137,0.01306605339050293,25,25,0,ok,649,649,0.016548574977225627,7.029199987300672,94765056
26,1305031103.011215,1305031103.027881,0.016665935516357422,26,26,0,ok,653,649,0.025832050387337213,6.754800007911399,94765056
27,1305031103.043227,1305031103.027881,0.015346050262451172,27,27,0,ok,653,653,4.2100716415055894e-16,3.991599995060824,94765056
28,1305031103.075319,1305031103.062273,0.013046026229858398,28,28,0,ok,632,632,0.01566610388623201,6.209900006069802,94765056
29,1305031103.11124,1305031103.09404,0.017199993133544922,29,29,0,ok,623,623,0.012765381998491051,6.383500003721565,94765056
30,1305031103.143318,1305031103.129109,0.01420903205871582,30,30,0,ok,623,619,0.030133762575649176,5.3629000030923635,94765056
31,1305031103.175452,1305031103.162795,0.012656927108764648,31,31,0,ok,594,594,0.014871195166930497,6.663000007392839,94765056
