processed_frame,rgb_stamp_s,depth_stamp_s,rgb_depth_offset_s,rgb_received,depth_received,unsynchronized_or_pending,status,point_count,correspondences,rmse_m,callback_latency_ms,process_peak_rss_bytes
1,1305031102.18,1305031102.16,0.0148968696594,2,2,1,"initialized",1286,0,,4.528688,81719296
2,1305031102.21,1305031102.23,0.0155239105225,3,2,0,"ok",1294,1287,0.0325470604928,8.904625,81719296
3,1305031102.24,1305031102.23,0.0164730548859,4,4,1,"ok",1294,1294,5.16328800461e-16,1.877896,82169856
4,1305031102.28,1305031102.26,0.0124399662018,5,5,1,"ok",1181,1178,0.0221482505412,4.815401,82169856
5,1305031102.31,1305031102.3,0.0159878730774,6,6,1,"ok",1158,1158,0.022136210569,5.158399,82190336
6,1305031102.34,1305031102.33,0.0140380859375,7,7,1,"ok",1047,1046,0.0210044194787,5.097057,82190336
7,1305031102.38,1305031102.36,0.0123159885406,8,8,1,"ok",1067,1067,0.019927076554,3.235315,82354176
8,1305031102.41,1305031102.39,0.0164859294891,9,9,1,"ok",1031,1025,0.0444567351037,2.442538,82354176
9,1305031102.44,1305031102.43,0.0154559612274,10,10,1,"ok",1005,1004,0.0217877734643,3.35777,82354176
10,1305031102.48,1305031102.46,0.012923002243,11,11,1,"ok",1017,1010,0.0577444607205,5.863263,82354176
11,1305031102.51,1305031102.53,0.0151109695435,12,11,0,"ok",930,930,0.0198681333925,4.058889,82354176
12,1305031102.54,1305031102.53,0.0168900489807,13,13,1,"ok",930,930,9.12556126027e-16,1.424962,82354176
13,1305031102.58,1305031102.56,0.0130620002747,14,14,1,"ok",883,883,0.0186952611177,2.865136,82354176
14,1305031102.61,1305031102.63,0.0155849456787,15,14,0,"ok",842,841,0.0204932391417,3.63619,82354176
15,1305031102.64,1305031102.63,0.0164470672607,16,16,1,"ok",842,842,2.36376316086e-16,1.375737,82354176
16,1305031102.68,1305031102.66,0.0120120048523,17,17,1,"ok",794,792,0.0163988249432,1.667719,82354176
17,1305031102.71,1305031102.7,0.0160980224609,18,18,1,"ok",779,779,0.0178722852173,2.233412,82354176
18,1305031102.74,1305031102.73,0.0148108005524,19,19,1,"ok",747,746,0.0184325820203,2.120442,82354176
19,1305031102.78,1305031102.76,0.0119228363037,20,20,1,"ok",791,791,0.0190983176634,2.234734,82354176
20,1305031102.81,1305031102.79,0.0162541866302,21,21,1,"ok",765,765,0.0175005057847,2.386513,82354176
21,1305031102.84,1305031102.83,0.0147531032562,22,22,1,"ok",698,698,0.0187562966394,2.506575,82354176
22,1305031102.88,1305031102.86,0.0125551223755,23,23,1,"ok",718,718,0.0178276644546,1.810413,82354176
23,1305031102.91,1305031102.93,0.0156660079956,24,23,0,"ok",679,679,0.0175873429524,2.644994,82354176
24,1305031102.94,1305031102.93,0.0163779258728,25,25,1,"ok",679,679,2.94904570944e-16,1.261655,82370560
25,1305031102.98,1305031102.96,0.0130660533905,26,26,1,"ok",649,649,0.0165485749772,1.987782,82370560
